ppm,hz,total_with_exchange,total_carbon_bound,exchangeable pool (H2O/OH/COOH),EGDA CH3
1.98303,158.98,0.087562,0.021301,0.066261,0.021238
1.98323,158.99,0.087628,0.021355,0.066272,0.021292
1.98343,159.01,0.087693,0.021410,0.066284,0.021346
1.98363,159.02,0.087759,0.021464,0.066295,0.021401
1.98383,159.04,0.087825,0.021519,0.066307,0.021455
1.98403,159.06,0.087892,0.021574,0.066318,0.021510
1.98423,159.07,0.087958,0.021629,0.066330,0.021565
1.98443,159.09,0.088025,0.021684,0.066341,0.021621
1.98463,159.10,0.088092,0.021740,0.066353,0.021676
1.98483,159.12,0.088159,0.021795,0.066364,0.021732
1.98503,159.14,0.088227,0.021851,0.066376,0.021788
1.98523,159.15,0.088295,0.021907,0.066387,0.021844
1.98543,159.17,0.088362,0.021964,0.066399,0.021900
1.98563,159.18,0.088431,0.022020,0.066410,0.021957
1.98583,159.20,0.088499,0.022077,0.066422,0.022014
1.98603,159.22,0.088568,0.022134,0.066433,0.022071
1.98623,159.23,0.088636,0.022191,0.066445,0.022128
1.98643,159.25,0.088705,0.022249,0.066456,0.022185
1.98663,159.26,0.088775,0.022307,0.066468,0.022243
1.98683,159.28,0.088844,0.022365,0.066480,0.022301
1.98703,159.30,0.088914,0.022423,0.066491,0.022359
1.98723,159.31,0.088984,0.022481,0.066503,0.022418
1.98743,159.33,0.089054,0.022540,0.066514,0.022476
1.98763,159.34,0.089124,0.022598,0.066526,0.022535
1.98783,159.36,0.089195,0.022658,0.066537,0.022594
1.98803,159.38,0.089266,0.022717,0.066549,0.022653
1.98823,159.39,0.089337,0.022776,0.066560,0.022713
1.98843,159.41,0.089408,0.022836,0.066572,0.022773
1.98863,159.42,0.089480,0.022896,0.066584,0.022833
1.98883,159.44,0.089552,0.022956,0.066595,0.022893
1.98903,159.46,0.089624,0.023017,0.066607,0.022953
1.98923,159.47,0.089696,0.023078,0.066618,0.023014
1.98943,159.49,0.089768,0.023139,0.066630,0.023075
1.98963,159.50,0.089841,0.023200,0.066642,0.023136
1.98983,159.52,0.089914,0.023261,0.066653,0.023198
1.99003,159.54,0.089988,0.023323,0.066665,0.023259
1.99023,159.55,0.090061,0.023385,0.066676,0.023321
1.99043,159.57,0.090135,0.023447,0.066688,0.023383
1.99063,159.59,0.090209,0.023509,0.066700,0.023446
1.99083,159.60,0.090283,0.023572,0.066711,0.023508
1.99103,159.62,0.090358,0.023635,0.066723,0.023571
1.99123,159.63,0.090433,0.023698,0.066734,0.023634
1.99143,159.65,0.090508,0.023762,0.066746,0.023698
1.99163,159.67,0.090583,0.023825,0.066758,0.023762
1.99183,159.68,0.090658,0.023889,0.066769,0.023825
1.99203,159.70,0.090734,0.023953,0.066781,0.023890
1.99223,159.71,0.090810,0.024018,0.066792,0.023954
1.99243,159.73,0.090887,0.024083,0.066804,0.024019
1.99263,159.75,0.090963,0.024148,0.066816,0.024084
1.99283,159.76,0.091040,0.024213,0.066827,0.024149
1.99303,159.78,0.091117,0.024278,0.066839,0.024215
1.99323,159.79,0.091195,0.024344,0.066851,0.024280
