ppm,hz,total_with_exchange,total_carbon_bound,exchangeable pool (H2O/OH/COOH),EGDA CH3,EGMA CH3,AcOH CH3
1.94103,155.61,0.086231,0.026000,0.060231,0.000132,0.001393,0.024363
1.94123,155.62,0.086314,0.026073,0.060241,0.000133,0.001396,0.024433
1.94143,155.64,0.086397,0.026147,0.060251,0.000133,0.001399,0.024503
1.94163,155.66,0.086481,0.026220,0.060261,0.000133,0.001402,0.024573
1.94183,155.67,0.086565,0.026295,0.060271,0.000133,0.001405,0.024644
1.94203,155.69,0.086650,0.026369,0.060281,0.000134,0.001408,0.024715
1.94223,155.70,0.086735,0.026444,0.060291,0.000134,0.001411,0.024787
1.94243,155.72,0.086820,0.026519,0.060301,0.000134,0.001414,0.024859
1.94263,155.74,0.086905,0.026595,0.060311,0.000135,0.001417,0.024931
1.94283,155.75,0.086991,0.026671,0.060321,0.000135,0.001420,0.025003
1.94303,155.77,0.087077,0.026747,0.060331,0.000135,0.001424,0.025076
1.94323,155.79,0.087164,0.026823,0.060341,0.000135,0.001427,0.025149
1.94343,155.80,0.087251,0.026900,0.060351,0.000136,0.001430,0.025222
1.94363,155.82,0.087338,0.026977,0.060361,0.000136,0.001433,0.025296
1.94383,155.83,0.087425,0.027055,0.060371,0.000136,0.001436,0.025370
1.94403,155.85,0.087513,0.027132,0.060381,0.000136,0.001439,0.025444
1.94423,155.87,0.087601,0.027211,0.060391,0.000137,0.001442,0.025519
1.94443,155.88,0.087690,0.027289,0.060401,0.000137,0.001446,0.025594
1.94463,155.90,0.087778,0.027368,0.060411,0.000137,0.001449,0.025669
1.94483,155.91,0.087868,0.027447,0.060421,0.000138,0.001452,0.025745
1.94503,155.93,0.087957,0.027527,0.060431,0.000138,0.001455,0.025821
1.94523,155.95,0.088047,0.027606,0.060441,0.000138,0.001459,0.025897
1.94543,155.96,0.088137,0.027687,0.060451,0.000138,0.001462,0.025974
1.94563,155.98,0.088228,0.027767,0.060461,0.000139,0.001465,0.026051
