ppm,hz,total_with_exchange,total_carbon_bound,exchangeable pool (H2O/OH/COOH),EGDA O-CH2,EGMA CH2-OC(O),EGMA CH2-OH,EG O-CH2
4.36367,349.83,9.905997,0.008111,9.897886,0.003849,0.003495,0.000094,0.000573
4.36407,349.86,9.901567,0.007979,9.893588,0.003753,0.003459,0.000094,0.000572
4.36447,349.89,9.897056,0.007851,9.889205,0.003661,0.003423,0.000094,0.000571
4.36487,349.92,9.892463,0.007726,9.884737,0.003573,0.003388,0.000093,0.000571
4.36527,349.96,9.887788,0.007606,9.880183,0.003487,0.003354,0.000093,0.000570
4.36567,349.99,9.883032,0.007488,9.875544,0.003404,0.003320,0.000093,0.000569
4.36607,350.02,9.878195,0.007375,9.870820,0.003325,0.003287,0.000093,0.000569
4.36647,350.05,9.873276,0.007264,9.866012,0.003247,0.003255,0.000093,0.000568
4.36687,350.08,9.868277,0.007157,9.861120,0.003173,0.003223,0.000093,0.000567
4.36727,350.12,9.863196,0.007052,9.856144,0.003101,0.003191,0.000093,0.000567
4.36767,350.15,9.858035,0.006951,9.851084,0.003031,0.003160,0.000093,0.000566
4.36807,350.18,9.852793,0.006852,9.845941,0.002964,0.003130,0.000092,0.000566
4.36847,350.21,9.847470,0.006756,9.840715,0.002898,0.003099,0.000092,0.000565
4.36887,350.24,9.842067,0.006662,9.835405,0.002835,0.003070,0.000092,0.000564
4.36927,350.28,9.836584,0.006571,9.830014,0.002774,0.003041,0.000092,0.000564
4.36967,350.31,9.831021,0.006482,9.824539,0.002714,0.003012,0.000092,0.000563
4.37007,350.34,9.825379,0.006395,9.818983,0.002657,0.002984,0.000092,0.000562
4.37047,350.37,9.819656,0.006311,9.813345,0.002601,0.002956,0.000092,0.000562
4.37087,350.40,9.813855,0.006229,9.807626,0.002547,0.002929,0.000092,0.000561
4.37127,350.44,9.807974,0.006149,9.801825,0.002495,0.002902,0.000091,0.000560
4.37167,350.47,9.802014,0.006071,9.795944,0.002444,0.002875,0.000091,0.000560
4.37207,350.50,9.795976,0.005994,9.789982,0.002395,0.002849,0.000091,0.000559
4.37247,350.53,9.789859,0.005920,9.783940,0.002347,0.002823,0.000091,0.000559
4.37287,350.56,9.783664,0.005847,9.777817,0.002300,0.002798,0.000091,0.000558
4.37327,350.60,9.777392,0.005776,9.771616,0.002255,0.002772,0.000091,0.000557
4.37367,350.63,9.771041,0.005707,9.765334,0.002211,0.002748,0.000091,0.000557
4.37407,350.66,9.764613,0.005639,9.758974,0.002169,0.002723,0.000091,0.000556
4.37447,350.69,9.758109,0.005573,9.752536,0.002127,0.002699,0.000090,0.000555
4.37487,350.72,9.751527,0.005508,9.746019,0.002087,0.002676,0.000090,0.000555
4.37527,350.76,9.744868,0.005445,9.739423,0.002048,0.002653,0.000090,0.000554
4.37567,350.79,9.738134,0.005383,9.732751,0.002010,0.002630,0.000090,0.000554
4.37607,350.82,9.731323,0.005323,9.726001,0.001973,0.002607,0.000090,0.000553
4.37647,350.85,9.724437,0.005264,9.719173,0.001937,0.002585,0.000090,0.000552
4.37687,350.89,9.717475,0.005206,9.712270,0.001902,0.002563,0.000090,0.000552
4.37727,350.92,9.710439,0.005149,9.705290,0.001868,0.002541,0.000090,0.000551
4.37767,350.95,9.703327,0.005094,9.698234,0.001834,0.002519,0.000089,0.000550
4.37807,350.98,9.696142,0.005039,9.691102,0.001802,0.002498,0.000089,0.000550
4.37847,351.01,9.688882,0.004986,9.683895,0.001770,0.002477,0.000089,0.000549
