ppm,hz,total_with_exchange,total_carbon_bound,EGDA O-CH2,exchangeable pool (H2O/OH/COOH),EGMA CH2-OC(O),EGMA CH2-OH,EG O-CH2
3.83606,307.53,1.584163,0.251627,0.000351,1.332535,0.000540,0.247745,0.002815
3.83646,307.56,1.590660,0.256187,0.000352,1.334474,0.000541,0.252315,0.002803
3.83686,307.59,1.596510,0.260094,0.000353,1.336416,0.000542,0.256234,0.002790
3.83726,307.63,1.601633,0.263270,0.000353,1.338362,0.000543,0.259421,0.002778
3.83766,307.66,1.605961,0.265648,0.000354,1.340313,0.000544,0.261810,0.002765
3.83806,307.69,1.609441,0.267174,0.000354,1.342267,0.000545,0.263346,0.002753
3.83846,307.72,1.612036,0.267810,0.000355,1.344226,0.000546,0.263993,0.002740
3.83886,307.75,1.613728,0.267539,0.000355,1.346188,0.000547,0.263733,0.002728
3.83926,307.79,1.614518,0.266363,0.000356,1.348155,0.000549,0.262567,0.002716
3.83966,307.82,1.614428,0.264302,0.000357,1.350126,0.000550,0.260517,0.002704
3.84006,307.85,1.613498,0.261398,0.000357,1.352100,0.000551,0.257623,0.002692
3.84046,307.88,1.611785,0.257706,0.000358,1.354079,0.000552,0.253941,0.002680
3.84086,307.91,1.609358,0.253296,0.000358,1.356062,0.000553,0.249541,0.002668
3.84126,307.95,1.606298,0.248249,0.000359,1.358049,0.000554,0.244504,0.002657
3.84166,307.98,1.602692,0.242651,0.000359,1.360041,0.000555,0.238917,0.002645
3.84206,308.01,1.598630,0.236594,0.000360,1.362036,0.000556,0.232869,0.002633
3.84246,308.04,1.594203,0.230167,0.000361,1.364036,0.000558,0.226452,0.002622
3.84286,308.07,1.589498,0.223458,0.000361,1.366040,0.000559,0.219754,0.002611
3.84326,308.11,1.584599,0.216551,0.000362,1.368048,0.000560,0.212856,0.002599
3.84366,308.14,1.579582,0.209522,0.000362,1.370060,0.000561,0.205836,0.002588
3.84406,308.17,1.574515,0.202438,0.000363,1.372076,0.000562,0.198763,0.002577
3.84446,308.20,1.569459,0.195362,0.000364,1.374097,0.000563,0.191696,0.002566
3.84486,308.24,1.564466,0.188345,0.000364,1.376122,0.000565,0.184688,0.002554
3.84526,308.27,1.559581,0.181430,0.000365,1.378151,0.000566,0.177783,0.002544
3.84566,308.30,1.554839,0.174655,0.000365,1.380184,0.000567,0.171016,0.002533
3.84606,308.33,1.550269,0.168047,0.000366,1.382222,0.000568,0.164418,0.002522
3.84646,308.36,1.545893,0.161629,0.000367,1.384264,0.000569,0.158009,0.002511
3.84686,308.40,1.541728,0.155419,0.000367,1.386310,0.000570,0.151807,0.002500
3.84726,308.43,1.537786,0.149426,0.000368,1.388360,0.000572,0.145824,0.002490
3.84766,308.46,1.534074,0.143659,0.000368,1.390415,0.000573,0.140066,0.002479
3.84806,308.49,1.530596,0.138122,0.000369,1.392474,0.000574,0.134537,0.002469
3.84846,308.52,1.527352,0.132815,0.000370,1.394537,0.000575,0.129239,0.002458
3.84886,308.56,1.524342,0.127737,0.000370,1.396605,0.000576,0.124169,0.002448
3.84926,308.59,1.521561,0.122883,0.000371,1.398677,0.000578,0.119325,0.002437
3.84966,308.62,1.519004,0.118250,0.000371,1.400754,0.000579,0.114700,0.002427
3.85006,308.65,1.516665,0.113831,0.000372,1.402834,0.000580,0.110289,0.002417
3.85046,308.68,1.514538,0.109618,0.000373,1.404920,0.000581,0.106085,0.002407
3.85086,308.72,1.512615,0.105605,0.000373,1.407009,0.000582,0.102080,0.002397
3.85126,308.75,1.510887,0.101783,0.000374,1.409103,0.000584,0.098266,0.002387
3.85166,308.78,1.509346,0.098145,0.000375,1.411202,0.000585,0.094636,0.002377
3.85206,308.81,1.507985,0.094681,0.000375,1.413305,0.000586,0.091180,0.002367
3.85246,308.84,1.506796,0.091384,0.000376,1.415412,0.000587,0.087891,0.002357
3.85286,308.88,1.505769,0.088245,0.000376,1.417524,0.000589,0.084760,0.002347
3.85326,308.91,1.504897,0.085257,0.000377,1.419640,0.000590,0.081780,0.002338
3.85366,308.94,1.504173,0.082412,0.000378,1.421761,0.000591,0.078943,0.002328
